"participant","stimulus_audio","length_audio","stimulus_picture","response_time","accuracy","accuracy_num","condition","congruency","category"
"1419","regal_word",1030,"Hocker",662,"incorrect","0","WPM","incongruent","Moebel"
"1419","avocado_incorrect",1300,"Avocado",2070,"correct","1","FPM","incongruent","Gemuese"
"1419","pinguin_word",1020,"Pinguin",706,"incorrect","0","WPM","congruent","Voegel"
"1419","weisskohl_correct",1160,"Weisskohl",1811,"correct","1","FPM","congruent","Gemuese"
"1419","kuerbis_correct",1110,"Kuerbis",2654,"incorrect","0","FPM","congruent","Gemuese"
"1419","wal_word",1310,"Wal",1026,"correct","1","WPM","congruent","Saeugetiere"
"1419","kohlrabi_word",1310,"Brokkoli",944,"incorrect","0","WPM","incongruent","Gemuese"
"1419","zug_word",1190,"Zug",662,"incorrect","0","WPM","congruent","Fortbewegungsmittel"
"1419","birne_word",1110,"Blaubeere",575,"incorrect","0","WPM","incongruent","Fruechte"
"1419","paprika_word",1320,"Paprika",1264,"incorrect","0","WPM","congruent","Gemuese"
"1419","ente_word",1320,"Eule",594,"incorrect","0","WPM","incongruent","Voegel"
"1419","meissel_word",860,"Hobel",1174,"correct","1","WPM","incongruent","Werkzeug"
"1419","ziege_word",1210,"Ziege",1676,"incorrect","0","WPM","congruent","Saeugetiere"
"1419","bohrmaschine_word",1380,"Bohrmaschine",554,"correct","1","WPM","congruent","Werkzeug"
"1419","faehre_correct",970,"Faehre",913,"correct","1","FPM","congruent","Fortbewegungsmittel"
"1419","moehre_incorrect",1100,"Moehre",818,"incorrect","0","FPM","incongruent","Gemuese"
"1419","axt_word",1530,"Axt",640,"incorrect","0","WPM","congruent","Werkzeug"
"1419","seehund_incorrect",1340,"Seehund",729,"incorrect","0","FPM","incongruent","Saeugetiere"
"1419","truhe_incorrect",1000,"Truhe",1490,"correct","1","FPM","incongruent","Moebel"
"1419","ente_correct",990,"Ente",1561,"incorrect","0","FPM","congruent","Voegel"
"1419","flugzeug_incorrect",1440,"Flugzeug",880,"incorrect","0","FPM","incongruent","Fortbewegungsmittel"
"1419","adler_word",1190,"Adler",1018,"incorrect","0","WPM","congruent","Voegel"
"1419","brokkoli_word",1020,"Kohlrabi",2380,"correct","1","WPM","incongruent","Gemuese"
"1419","harke_incorrect",1100,"Harke",1099,"incorrect","0","FPM","incongruent","Werkzeug"
"1419","hubschrauber_word",1260,"Hubschrauber",1259,"incorrect","0","WPM","congruent","Fortbewegungsmittel"
"1419","orange_incorrect",1070,"Orange",2044,"incorrect","0","FPM","incongruent","Fruechte"
"1419","faehre_incorrect",1040,"Faehre",982,"correct","1","FPM","incongruent","Fortbewegungsmittel"
"1419","mais_word",1130,"Spargel",678,"correct","1","WPM","incongruent","Gemuese"
"1419","bluse_word",1110,"Bluse",771,"correct","1","WPM","congruent","Kleidung"
"1419","schleifpapier_word",1040,"Schleifpapier",762,"incorrect","0","WPM","congruent","Werkzeug"
"1419","aprikose_word",1460,"Orange",714,"incorrect","0","WPM","incongruent","Fruechte"
"1419","kutsche_incorrect",1390,"Kutsche",777,"correct","1","FPM","incongruent","Fortbewegungsmittel"
"1419","mais_correct",1380,"Mais",1612,"incorrect","0","FPM","congruent","Gemuese"
"1419","brokkoli_incorrect",970,"Brokkoli",810,"correct","1","FPM","incongruent","Gemuese"
"1419","blaubeere_incorrect",930,"Blaubeere",2245,"incorrect","0","FPM","incongruent","Fruechte"
"1419","mantel_word",1270,"Mantel",912,"correct","1","WPM","congruent","Kleidung"
"1419","saege_word",1210,"Bohrmaschine",593,"correct","1","WPM","incongruent","Werkzeug"
"1419","seehund_word",1420,"Eichhoernchen",807,"correct","1","WPM","incongruent","Saeugetiere"
"1419","drehstuhl_word",1180,"Schaukelstuhl",937,"correct","1","WPM","incongruent","Moebel"
"1419","flugzeug_correct",1220,"Flugzeug",1203,"incorrect","0","FPM","congruent","Fortbewegungsmittel"
"1419","gans_word",1160,"Elster",691,"correct","1","WPM","incongruent","Voegel"
"1419","harke_word",900,"Axt",694,"correct","1","WPM","incongruent","Werkzeug"
"1419","paprika_word",1080,"Moehre",669,"correct","1","WPM","incongruent","Gemuese"
"1419","sofa_correct",1110,"Sofa",511,"correct","1","FPM","congruent","Moebel"
"1419","schrank_incorrect",870,"Schrank",547,"correct","1","FPM","incongruent","Moebel"
"1419","schlafanzug_incorrect",1100,"Schlafanzug",642,"correct","1","FPM","incongruent","Kleidung"
"1419","ziege_word",1290,"Fledermaus",533,"correct","1","WPM","incongruent","Saeugetiere"
"1419","wiege_word",1210,"Truhe",673,"correct","1","WPM","incongruent","Moebel"
"1419","sessel_word",1210,"Sessel",554,"correct","1","WPM","congruent","Moebel"
"1419","ente_word",1210,"Ente",670,"correct","1","WPM","congruent","Voegel"
"1419","drehstuhl_correct",1300,"Drehstuhl",947,"incorrect","0","FPM","congruent","Moebel"
"1419","regal_incorrect",990,"Regal",775,"correct","1","FPM","incongruent","Moebel"
"1419","fuchs_word",1430,"Wal",625,"correct","1","WPM","incongruent","Saeugetiere"
"1419","wellensittich_word",1170,"Reiher",639,"correct","1","WPM","incongruent","Voegel"
"1419","spargel_correct",1030,"Spargel",691,"incorrect","0","FPM","congruent","Gemuese"
"1419","kiwi_correct",1170,"Kiwi",914,"incorrect","0","FPM","congruent","Fruechte"
"1419","tiger_incorrect",1200,"Tiger",875,"correct","1","FPM","incongruent","Saeugetiere"
"1419","zug_word",1210,"Flugzeug",818,"incorrect","0","WPM","incongruent","Fortbewegungsmittel"
